Param_1,Param_2,Param_3,Param_4,Param_5,Evaluation,Purity,Recovery,TAC_CC,Capex_tot,Opex_tot,Variable_Opex,Fixed_Opex,TAC_Cryo,Direct_CO2_emission,Indirect_CO2_emission,C_compressor,C_cooler,C_membrane,C_expander,O_compressor,O_cooler,O_membrane,O_expander,O_heater,Penalty_purity,Penalty_CO2_emission
0.019770349715390823,1.9832369395447993,4.802502798452749,2.4300946029849917,8.000152735381874,80516433.93902388,0.8783237873736425,0.4122209866076551,20591439.15936079,70083921.34364215,17087243.09217868,13868777.17750273,3218465.9146759477,0.0,478417.1342646254,49156.60090564817,57343400.437765256,6486461.99920191,7743481.846873912,13852110.79997826,14641768.471574128,1362548.3721362038,1935870.461718478,-3741010.789825428,-330399.33810065174,7167621.262635748,52757373.517027356
0.6599191982692799,2.1767463388572392,9.170608302717374,1.851378782635635,9.971548285624554,73461094.6772396,0.7588499643813648,0.8215615058465636,31625218.830289252,85610566.00962265,27344690.52980812,23758802.095756408,3585888.4340517106,0.0,145238.3141798202,81970.4086710481,72777991.21976817,7672159.687452861,11084809.938733,12815957.612161273,21625984.883230016,2941633.230679663,2771202.48468325,-3448577.464192243,-131441.03864427758,19115003.56186352,22720872.28508683
0.18854712441746335,9.324545900517013,6.832079399773992,4.839718638294107,7.326464638370977,88805603.60735877,0.9459237129536384,0.14921861469926886,15358644.886983152,55273321.424995124,12594978.815733396,9726990.937532311,2867987.878201085,0.0,692485.4119784143,37907.88817898021,44631792.39652754,5326072.431118998,3310516.4843710363,14104399.009053525,12441123.085727291,739048.7491919822,827629.1210927591,-4034831.8521442716,-245978.16633544964,407628.70463615377,73039330.01573946
0.2149927531045327,1.014741263292628,5.791072370647392,2.3631863537401823,8.497509332029452,76646817.11154455,0.7811763657860066,0.6567872813005852,25559507.45459879,77591372.90126759,21679938.80953541,18283816.561199814,3396122.248335596,0.0,279354.72615069646,62694.73620476792,64424774.835800454,6870070.093935691,10238129.143781915,13043331.212949954,17399356.713726964,2001455.430026649,2559532.285945479,-3496440.020990258,-180087.84750901855,16882363.421399336,34204946.23554643
0.7612731557611172,6.247443145398506,7.568249043315755,1.641156589467412,6.5624204460285345,78492217.73163697,0.9117086876817327,0.44970670104443083,24107847.88043464,70718603.5768663,20571917.701591324,17338432.66654836,3233485.0350429644,0.0,447905.9937371676,57646.39245658849,55763908.74544115,6432259.629318093,11010710.840845369,12992191.521667391,16326521.747509358,1949981.9066152233,2752677.710211342,-3543104.1836628234,-147644.5141247416,3829131.231826721,50555238.61937562
0.12144157198369065,9.983252263265042,7.086584262544874,4.61160945049239,3.4179409583408806,93871570.50304183,0.9212192654297473,0.02574005169321409,9792061.901577849,41888133.11887226,7697655.245634235,5146414.463509242,2551240.7821249934,0.0,792989.6132351516,19024.738209235667,31752644.299672224,4612948.221960941,3288124.0623963764,11403826.511279633,7086167.127873306,168445.19434692716,822031.0155990941,-2867322.5097183725,-62906.36459171335,2878073.4570252653,81201435.14443873
0.8721750211708247,1.354205901893686,6.607896191152876,3.99115269204098,4.332873358949837,100975630.2581595,0.7971574951477525,0.13342247128089432,12509127.590576883,48552835.060458146,10081485.837553976,7372531.548683295,2708954.2888706815,0.0,705342.5325874609,26479.989236117697,38601299.12448147,4925883.189995573,4312697.905067573,11341283.607064258,9071353.729066638,427030.56645126257,1078174.4762668933,-3199264.5129657276,-4762.710135770587,15284250.485224748,73182252.18235786
0.05568970355597613,5.1237400759123,6.059870144980889,2.4788286840098284,4.051801146156792,92750539.812944,0.9094706890385702,0.09258420626734357,12418377.154054783,49460062.15503474,9945374.046303047,7214951.135466305,2730422.9108367423,0.0,738582.4497518404,24209.865875621792,36960628.795250595,4850084.828616766,6219670.983799707,12256600.439169616,8515031.82356127,425473.844149081,1554917.7459499268,-3146355.4595397953,-134116.81865417634,4052931.0961429756,76279231.56274623
0.029399672861432635,3.3237701600753207,7.4991426688098315,3.65132550209863,7.490476809631891,79692131.46829486,0.8938952607654385,0.3720009287598364,18403612.703161597,61002377.174633816,15353493.844429906,12349933.59096937,3003560.253460535,0.0,511153.86758971744,45626.58082705364,50361728.39980888,5642329.66347886,4743960.636613738,13607921.028214656,13933146.662943358,1235864.071176732,1185990.1591534344,-3815191.143661611,-189876.15864254316,5610473.923456149,55678044.841677114
0.3066601127698142,5.389742768370351,4.327869998182795,2.1558583484156117,4.688480361381407,93896837.29685713,0.9201834131624289,0.08424847605339598,13631072.7310935,52138373.93741725,11024154.034222636,8230351.553367595,2793802.480855042,0.0,745367.2380312714,27473.82078879384,38465594.65203083,5030066.967350059,7346572.059408478,12709351.842448935,9467940.093333654,467555.46625847765,1836643.0148521196,-3375463.040551508,-166323.98052514845,2981658.6837571044,77284105.88200653
0.05993572196500763,8.046729770134649,3.1491209228278683,4.862818965638612,6.790073825081181,95641376.9290938,0.9389084211379364,0.035361495017576565,12887074.58721216,47920324.85871651,10491058.344276335,7797071.776819667,2693986.567456668,0.0,785158.3310051778,31293.113551574974,36406901.71528062,4947108.377393979,3272850.1340102814,13783335.440708112,10844191.710274551,325214.1083526673,818212.5335025704,-3904764.6211657478,-285781.95414437226,1109157.8862063577,81645144.45567527
