Param_1,Param_2,Param_3,Param_4,Param_5,Evaluation,Purity,Recovery,TAC_CC,Capex_tot,Opex_tot,Variable_Opex,Fixed_Opex,TAC_Cryo,CO2_emission,C_compressor,C_cooler,C_membrane,C_expander,O_compressor,O_cooler,O_membrane,O_expander,O_heater,Penalty_purity,Penalty_CO2_emission
0.5042255752310913,8.188169649506186,5.288427972953003,1.7703482757864766,5.21667503325693,57330762.15751262,0.9217682829433653,0.639564486044886,25170284.807270188,64954794.48648552,21824990.381078396,18727900.1243502,3097090.2567281937,97554.70186751724,293373.05644578976,46605498.022111125,10132057.93069768,9955293.821817966,12480700.627563417,15714836.180365495,5501470.448309306,1659215.636969661,-2937863.394887125,-1209758.7464071321,2823171.705663463,29337305.644578975
0.6677854110469598,4.404623832661687,9.072698309848851,1.8993672289189827,9.976083779852358,65119539.32246893,0.7166535374686663,0.9837440105304338,40461752.276713476,88053477.61201052,35912746.343311675,32269048.849101055,3643697.4942106176,146332.05280127586,13231.407926220922,68790790.26307252,14411725.71386969,11335016.562010113,12791056.565476764,26870755.828325585,7687920.637635486,1889169.4270016854,-3064932.78312646,-1113864.2607352415,23334646.25313336,1323140.7926220922
0.8606532783107941,4.17435420558996,7.268469187916201,1.8880417261658335,3.578853672525643,77765542.50881043,0.8288182269834403,0.4296410487516506,19223541.160842195,54058808.05320467,16423046.056314446,13583798.422543412,2839247.633771035,97554.70186751724,464238.2404631228,39010678.027003914,7449916.351505478,8936415.108792467,10495397.65399433,11356319.56865504,4417381.559945665,1489402.5181320778,-2515426.457366013,-1163878.7668233602,12118177.301655963,46423824.04631228
0.5425453386687141,1.9029903550561738,3.5904102927332495,1.058588883634111,3.42413661205523,75320926.11538719,0.8191002239142372,0.5073515512622427,22132296.85799711,63803547.74963253,18844564.768647965,15774717.614700662,3069847.1539473045,97554.70186751724,400986.51648813806,39847978.751494616,9784054.3066131,17254673.74375502,10883586.26934548,11815313.635474235,4547450.2227930715,2875778.9572925037,-2354305.5627087546,-1109519.6381503954,13089977.608576275,40098651.64881381
0.4270726085468949,3.983528875075424,8.593144005815192,1.3630368259287242,4.926017867585771,62010425.131056055,0.7746014119769767,0.800778382143191,28255112.335503314,69112797.76348247,24701917.745461673,21506432.499186624,3195485.2462750496,97554.70186751724,162154.53993250418,49487647.18553912,10137239.133217368,12800795.943346146,11816068.02627584,17345858.630735837,5771382.761508265,2133465.990557691,-2654778.7113907523,-1089496.1722244187,17539858.802302323,16215453.993250418
0.043873579118151707,5.416791633370279,8.85248424282956,1.7952506211525674,4.848585140611183,57184727.218239665,0.8373786487830172,0.7420577291247825,24927626.433237135,63403728.26472411,21659885.318133414,18599499.49247698,3060385.8256564317,97554.70186751724,209949.6566330425,46625755.481717326,9277651.480737168,9109237.314468374,12270307.892194428,15551930.312350942,5452101.1100459155,1518206.2190780623,-2780288.620999051,-1142449.527998889,11262135.12169828,20994965.66330425
0.4396898177298967,4.747657349702969,6.365569933957481,1.187454614181013,4.0876130308090595,61243778.798624486,0.8493461699622639,0.6796974968710784,25107678.373295415,66257709.489758804,21697238.196939956,18569315.759574305,3127922.437365652,97554.70186751724,260707.17421555467,45133298.61245318,9568501.725668663,14377946.664691117,11681929.533821262,14617526.837974649,5235297.113519159,2396324.444115186,-2565615.4693636512,-1114217.1666710349,10065383.00377361,26070717.421555467
0.6307176349110953,4.4481263070765396,5.497082888905232,1.644460663067814,4.741430359740526,58712446.465329945,0.870169370849932,0.6818728299979764,24835725.298443537,63841299.42413841,21546105.625369098,18475365.115796287,3070740.509572812,97554.70186751724,258936.5825187961,45680579.62693633,9540264.892036758,10929155.052356755,11666309.103928672,15182576.57083464,5372032.734349092,1821525.8420594593,-2746870.7067790623,-1153899.324667842,7983062.9150068,25893658.25187961
0.8186048575673064,5.127526846266461,3.4837106065256602,1.5834069961813837,3.3616099707209224,76607285.0765461,0.918764428863351,0.3188402008980703,18041374.35079537,50684181.04545831,15458387.947588693,12698997.487328969,2759390.4602597253,48777.35093375862,554423.5361208584,33842451.715151764,6090597.124323582,11130495.581917135,10715521.994270457,10320421.237619264,4218775.537004891,1855082.5969861893,-2499174.993240172,-1196106.8910412032,3123557.1136648986,55442353.61208584
0.8769614850083288,6.905149105696515,9.345759672201783,1.2297147066821663,5.111815612399332,58148326.30374639,0.8200578505451789,0.8341953284301222,31658597.906306546,74521715.44350891,27834957.432263583,24511475.558008388,3323481.8742551953,97554.70186751724,134955.13451957732,52907829.81433992,11536680.573913142,15173709.988355907,11216472.279556878,19495567.340896025,6250247.738011518,2528951.6647259844,-2670380.728851607,-1092910.456773536,12994214.945482107,13495513.451957732
0.39304034038467695,5.287861889302908,6.133137739394639,1.4444568955395278,4.733649176412561,57592405.72991441,0.8710496351120033,0.7007036722262114,25336429.471752305,65564765.856489055,21960636.477060333,18849111.857832376,3111524.619227957,97554.70186751724,243609.39769362443,46198680.95020312,9720375.742621768,11873552.108644364,12124437.125395644,15354710.317855366,5421547.532099155,1978925.3514407275,-2754744.115379538,-1151327.2281833338,7895036.488799667,24360939.769362442
0.593467740073303,7.683665910024115,4.5702081459660775,1.529796782135707,3.0124287268844236,80789523.17765842,0.9199736408566902,0.24824600366179886,16598586.149209121,51739540.64518306,13914054.415082451,11129689.925254839,2784364.489827612,97554.70186751724,611883.0111411832,34316982.68413973,7217694.779823581,10704233.304767884,10826535.922965527,9029425.673338741,3878162.536989291,1784038.8841279808,-2376745.290509908,-1185191.8786912658,3002635.9143309756,61188301.11411832
